Disposition;Disposition Date;Filing Date;Organization Name;Street Number;Street Name;Street Type;Direction;City;Province;Postal Code;Region;Case Number;Status;Category;Case Type
Unclassified;;4/9/2021 10:15;2585276 ONTARIO LIMITED;2356;EGLINTON;AVENUE;EAST;TORONTO;ON;M1K2P1;Toronto East;TEL-16335-21;Active;Landlord;L5
Unclassified;;4/9/2021 11:08;2585276 ONTARIO LIMITED;2354;EGLINTON;AVENUE;EAST;TORONTO;ON;M1K2N9;Toronto East;TEL-16336-21;Active;Landlord;L5
Unclassified;;4/21/2021 14:31;CLOVERLEAF DEVELOPMENT INC;3210;LAWRENCE;AVENUE;EAST;TORONTO;ON;M1H1A4;Toronto East;TEL-16521-21;Active;Landlord;L5
Unclassified;;5/4/2021 8:19;METCAP LIVING;806;KENNEDY;ROAD;;TORONTO;ON;M1K2E1;Toronto East;TEL-16688-21;Active;Landlord;L5
Unclassified;;6/21/2021 14:23;SUNDER GROUP OF COMPANIES LTD. C/O GREENWIN INC;550;SCARBOROUGH GOLF CLUB;ROAD;;SCARBOROUGH;ON;M1G1H6;Toronto East;TEL-17598-21;Active;Landlord;L5
Unclassified;;6/22/2021 9:48;MEDALLION CORPORATION;560;BIRCHMOUNT;ROAD;;TORONTO;ON;M1K1P5;Toronto East;TEL-17609-21;Active;Landlord;L5
Unclassified;;6/22/2021 10:43;SKYVIEW TERRA APTS. LTD. C/O SKYVIEW MANAGEMENT LTD.;1155;MIDLAND;AVENUE;;SCARBOROUGH;ON;M1K4H3;Toronto East;TEL-17610-21;Active;Landlord;L5
Unclassified;;4/8/2021 7:50;ROSSEAU ROAD INC.;12, 14, 16, 18, 20, 22, 24, 26;ROSSEAU;ROAD;;TORONTO;ON;M3H3G2;Toronto North;TNL-31771-21;Active;Landlord;L5
Unclassified;;4/16/2021 8:46;DIS WILSON C/O BRIARLANE RENTAL PROPERTY MANAGEMENT INC.;1154;WILSON;AVENUE;;TORONTO;ON;M3M1J6;Toronto North;TNL-31898-21;Active;Landlord;L5
Unclassified;;4/16/2021 12:18;HARDIT CORPORATION C/O REALSTAR MANAGEMENT PARTNERSHIP;5;BROOKBANKS;DRIVE;;TORONTO;ON;M3A2S7;Toronto North;TNL-31901-21;Active;Landlord;L5
Unclassified;;4/20/2021 7:35;HARDIT CORPORATION C/O REALSTAR MANAGEMENT PARTNERSHIP;15;BROOKBANKS;DRIVE;;TORONTO;ON;M3A2S9;Toronto North;TNL-31936-21;Active;Landlord;L5
Unclassified;;4/26/2021 8:11;INTERRENT REIT;2304;WESTON;ROAD;;TORONTO;ON;M9N1Z3;Toronto North;TNL-32038-21;Active;Landlord;L5
Unclassified;;4/27/2021 12:18;HAZELVIEW PROPERTIES;630;VESTA;DRIVE;;TORONTO;ON;M5N1J1;Toronto North;TNL-32054-21;Active;Landlord;L5
Unclassified;;5/3/2021 11:53;(1,2,3,5 & 7 BIGGIN) INC C/O CENTURION PROPERTY ASSOCIATES INC;1;BIGGIN;COURT;;TORONTO;ON;M4A1L9;Toronto North;TNL-32142-21;Active;Landlord;L5
Unclassified;;5/4/2021 8:59;DOWNSVIEW PARK APARTMENTS INC. CARE OF BRIARLANE RENTAL PROPERTY MANAGEMENT INC.;3444;KEELE;STREET;;TORONTO;ON;M3J1L8;Toronto North;TNL-32172-21;Active;Landlord;L5
Unclassified;;5/5/2021 8:16;IMH 3905 BATHURST LTD.;3905;BATHURST;STREET;;TORONTO;ON;M3H3N7;Toronto North;TNL-32197-21;Active;Landlord;L5
Unclassified;;5/5/2021 13:35;OBIE CONSTRUCTION;14;CARLUKE;CRESCENT;;TORONTO;ON;M2L2H8;Toronto North;TNL-32202-21;Active;Landlord;L5
Unclassified;;5/6/2021 7:34;OBIE CONSTRUCTION;16;CARLUKE;CRESCENT;;TORONTO;ON;M2L2H9;Toronto North;TNL-32221-21;Active;Landlord;L5
Unclassified;;6/4/2021 14:54;METCAP LIVING;1305;WILSON;AVENUE;;TORONTO;ON;M3M1J2;Toronto North;TNL-32732-21;Active;Landlord;L5
Withdrawn;7/16/2021 7:48;6/11/2021 11:23;;3321;WILMINGTON;AVENUE;;TORONTO;ON;M3H5K9;Toronto North;TNL-32832-21;Closed;Landlord;L5
Unclassified;;6/17/2021 7:52;OBIE CONSTRUCTION;20;CARLUKE;CRESCENT;;TORONTO;ON;M2L2J1;Toronto North;TNL-32934-21;Active;Landlord;L5
Unclassified;;6/18/2021 11:46;CLEARVIEW HEIGHTS HOLDINGS LIMITED.;31;CLEARVIEW HEIGHTS;COURT;;TORONTO;ON;M6M2A2;Toronto North;TNL-32963-21;Active;Landlord;L5
Unclassified;;6/18/2021 12:04;D.D. 286 FINCH LTD.;286;FINCH;AVENUE;WEST;TORONTO;ON;M2R1N1;Toronto North;TNL-32964-21;Active;Landlord;L5
Unclassified;;6/22/2021 13:03;1054881 ONTARIO LIMITED O/A SUMMIT HOLDINGS;60;CALLOWHILL;DRIVE;;TORONTO;ON;M9R3L5;Toronto North;TNL-33013-21;Active;Landlord;L5
Unclassified;;6/30/2021 7:25;;70;UPPER CANADA;DRIVE;;NORTH YORK;ON;M2P2A3;Toronto North;TNL-33170-21;Active;Landlord;L5
Cancelled by Coordinator;7/30/2021 13:31;7/30/2021 12:56;MEDALLION CORPORATION;32;CARLUKE;CRESCENT;;NORTH YORK;ON;M2L2J3;Toronto North;TNL-33802-21;Closed;Landlord;L5
Unclassified;;4/12/2021 9:08;JOHN BELLOMO CONSTRUCTION LTD. C/O GREENWIN INC.;2-Sep;OAKLAWN;GARDENS;;TORONTO;ON;M4V2C6;Toronto South;TSL-21452-21;Active;Landlord;L5
Unclassified;;4/12/2021 13:10;BROADVIEW APARTMENTS LTD.;846;BROADVIEW;AVENUE;;TORONTO;ON;M4K2R1;Toronto South;TSL-21457-21;Active;Landlord;L5
Unclassified;;4/15/2021 8:34;H & R PROPERTY MANAGEMENT LTD.;20;FONTENAY;COURT;;TORONTO;ON;M9A4W4;Toronto South;TSL-21504-21;Active;Landlord;L5
Unclassified;;4/15/2021 9:44;HOLLYBURN PROPERTIES LTD.;10;LAMPORT;AVENUE;;TORONTO;ON;M4W1S6;Toronto South;TSL-21505-21;Active;Landlord;L5
Unclassified;;4/15/2021 10:15;HOLLYBURN PROPERTIES LTD.;149;ST. GEORGE;STREET;;TORONTO;ON;M5R2L9;Toronto South;TSL-21506-21;Active;Landlord;L5
Unclassified;;4/15/2021 14:28;GF 5 - 9 STAG HILL DRIVE LTD.;5;STAG HILL;DRIVE;;TORONTO;ON;M4B1K7;Toronto South;TSL-21515-21;Active;Landlord;L5
Unclassified;;4/16/2021 7:38;CAPRI HOLDINGS LIMITED C/O BRIARLANE RENTAL PROPERTY MANAGEMENT INC.;5;CAPRI;ROAD;;TORONTO;ON;M9B6B5;Toronto South;TSL-21532-21;Active;Landlord;L5
Unclassified;;4/21/2021 12:15;ROBINWOOD MANAGEMENT CORPORATION LIMITED;723;BLOOR;STREET;WEST;TORONTO;ON;M6G1L5;Toronto South;TSL-21600-21;Active;Landlord;L5
Unclassified;;4/22/2021 13:12;MEDALLION CORPORATION;236;VAUGHAN;ROAD;;TORONTO;ON;M6C2M7;Toronto South;TSL-21616-21;Active;Landlord;L5
Unclassified;;4/26/2021 8:53;D.D. 68 HILLSIDE LTD.;68;HILLSIDE;DRIVE;;EAST YORK;ON;M4K2M4;Toronto South;TSL-21657-21;Active;Landlord;L5
Unclassified;;4/26/2021 9:27;BRULE PARK APARTMENTS INC.;2535;BLOOR;STREET;WEST;TORONTO;ON;M6S1R8;Toronto South;TSL-21658-21;Active;Landlord;L5
Unclassified;;4/27/2021 11:28;PRINCE CHARLES TERRACE APARTMENTS LTD.;45;GARDINER;ROAD;;TORONTO;ON;M5P3B6;Toronto South;TSL-21668-21;Active;Landlord;L5
Unclassified;;4/27/2021 14:40;668308 ONTARIO LIMITED;433;JARVIS;STREET;;TORONTO;ON;M4Y2G9;Toronto South;TSL-21673-21;Active;Landlord;L5
Unclassified;;4/28/2021 10:23;;306;WRIGHT;AVENUE;;TORONTO;ON;M6R1L9;Toronto South;TSL-21680-21;Active;Landlord;L5
Unclassified;;5/4/2021 11:41;AKELIUS CANADA LTD.;16;ST. JOSEPH;STREET;;TORONTO;ON;M4Y1J9;Toronto South;TSL-21784-21;Active;Landlord;L5
Unclassified;;5/5/2021 7:36;LAWTON APARTMENTS INC.;95;LAWTON;BOULEVARD;;TORONTO;ON;M4V1Z8;Toronto South;TSL-21808-21;Active;Landlord;L5
Unclassified;;5/5/2021 8:59;CLAIRHAVEN LRTD. C/O REALSTAR MANAGEMENT PARTNERSHIP;4 TO 12 AND 14;BEXHILL;COURT;;TORONTO;ON;M9A3A8;Toronto South;TSL-21809-21;Active;Landlord;L5
Unclassified;;5/5/2021 9:35;MANHATTAN TOWERS APARTMENTS LTD. CARE OF BRIARLANE RENTAL PROPERTY MANAGEMENT INC.;585;AVENUE;ROAD;;TORONTO;ON;M4V2K5;Toronto South;TSL-21810-21;Active;Landlord;L5
Unclassified;;5/11/2021 8:12;1564534 ONTARIO LTD.;4752;DUNDAS;STREET;WEST;TORONTO;ON;M9A1A9;Toronto South;TSL-21929-21;Active;Landlord;L5
Unclassified;;5/11/2021 9:07;1564534 ONTARIO LTD.;4754;DUNDAS;STREET;WEST;TORONTO;ON;M9A1A9;Toronto South;TSL-21930-21;Active;Landlord;L5
Unclassified;;5/20/2021 11:35;AMSTAR 66 SPADINA LTD. (ONTARIO);66;SPADINA;ROAD;;TORONTO;ON;M5R2T4;Toronto South;TSL-22099-21;Active;Landlord;L5
Unclassified;;5/26/2021 8:26;IMH POOL XVI LP;55;FORTY SECOND;STREET;;TORONTO;ON;M8W3P3;Toronto South;TSL-22145-21;Active;Landlord;L5
Unclassified;;6/4/2021 10:47;HAZELVIEW PROPERTIES.;9;TENNIS;CRES;;TORONTO;ON;M4K1J4;Toronto South;TSL-22335-21;Active;Landlord;L5
Unclassified;;6/4/2021 11:44;GOLD SEAL MANAGEMENT INC.;6;TWENTY FOURTH;STREET;;TORONTO;ON;M8V3N4;Toronto South;TSL-22337-21;Active;Landlord;L5
Unclassified;;6/7/2021 7:48;1253871 ONTARIO INC.;276;ST. GEORGE;STREET;;TORONTO;ON;M5R2P6;Toronto South;TSL-22376-21;Active;Landlord;L5
Unclassified;;6/17/2021 7:06;PARK IX LTD.;9;DEER PARK;CRESCENT;;TORONTO;ON;M4V2C4;Toronto South;TSL-22575-21;Active;Landlord;L5
Unclassified;;6/17/2021 10:46;;354;RUSHOLME;ROAD;;TORONTO;ON;M6H2Z5;Toronto South;TSL-22582-21;Active;Landlord;L5
Unclassified;;6/17/2021 12:15;MONTCLAIR VENTURES INC.;1545;BATHURST;STREET;;TORONTO;ON;M5P3H6;Toronto South;TSL-22589-21;Active;Landlord;L5
Cancelled by Coordinator;6/18/2021 14:36;6/18/2021 7:48;MONTCLAIR VENTURES INC.;1545;BATHURST;STREET;;TORONTO;ON;M5P3H6;Toronto South;TSL-22600-21;Closed;Landlord;L5
Unclassified;;6/18/2021 9:42;MAYFAIR MANSIONS HOLDING INC.;394;AVENUE;ROAD;;TORONTO;ON;M4V2H4;Toronto South;TSL-22601-21;Active;Landlord;L5
Unclassified;;6/18/2021 13:03;IMH POOL X LP;295;DUFFERIN;STREET;;TORONTO;ON;M6K3G2;Toronto South;TSL-22609-21;Active;Landlord;L5
Cancelled by Coordinator;6/22/2021 7:17;6/21/2021 9:34;IMH POOL X LP;295;DUFFERIN;STREET;;TORONTO;ON;M6K3G2;Toronto South;TSL-22632-21;Closed;Landlord;L5
